seed,variant,perturbation,n,auc,eer,tpr1,tpr5,tpr10,ece_raw,ece_platt,platt_a,platt_b
42,full_fusion,clean,600,0.77206,0.29100000000000004,0.306,0.446,0.482,0.0752043686558803,0.05278364983697733,4.798269271850586,-2.098954200744629
42,full_fusion,downscale_2x,600,0.76606,0.31000000000000005,0.244,0.39,0.48,0.04915669086078803,0.05756498438616593,4.798269271850586,-2.098954200744629
42,full_fusion,downscale_4x,600,0.73328,0.348,0.19,0.284,0.468,0.06566267594695091,0.06353247657418251,4.798269271850586,-2.098954200744629
42,full_fusion,jpeg_q10,600,0.70502,0.34199999999999997,0.126,0.24,0.34,0.20714867497483888,0.16504298036297166,4.798269271850586,-2.098954200744629
42,full_fusion,jpeg_q30,600,0.74376,0.31999999999999995,0.222,0.358,0.44,0.20391768336296084,0.17098677277565003,4.798269271850586,-2.098954200744629
42,full_fusion,jpeg_q50,600,0.75686,0.31999999999999995,0.302,0.364,0.48,0.1793745645880699,0.1484730785091718,4.798269271850586,-2.098954200744629
42,full_fusion,noise_s10,600,0.7619,0.30000000000000004,0.308,0.366,0.484,0.07446518033742905,0.05591091270248095,4.798269271850586,-2.098954200744629
42,full_fusion,noise_s20,600,0.74522,0.32999999999999996,0.212,0.354,0.42,0.08187215252468984,0.06289496446649233,4.798269271850586,-2.098954200744629
42,full_fusion,noise_s5,600,0.76228,0.31799999999999995,0.326,0.384,0.482,0.07315696900089581,0.05958386940260728,4.798269271850586,-2.098954200744629
1337,backbone_only,blur_s1,600,0.75922,0.31999999999999995,0.246,0.384,0.458,0.040770666003227235,0.036333495974540705,4.931957721710205,-2.3076443672180176
1337,backbone_only,blur_s2,600,0.72876,0.33899999999999997,0.178,0.326,0.388,0.07550873671968779,0.0548670282959938,4.931957721710205,-2.3076443672180176
1337,backbone_only,blur_s3,600,0.69862,0.37,0.096,0.274,0.372,0.09239071992536385,0.06680488355457784,4.931957721710205,-2.3076443672180176
1337,backbone_only,clean,600,0.7679,0.31999999999999995,0.278,0.418,0.488,0.03961044535040855,0.04824220292270184,4.931957721710205,-2.3076443672180176
1337,backbone_only,downscale_2x,600,0.75994,0.33099999999999996,0.246,0.39,0.46,0.04311096864442031,0.041316157157222436,4.931957721710205,-2.3076443672180176
1337,backbone_only,downscale_4x,600,0.72748,0.33799999999999997,0.224,0.324,0.402,0.06421386180445553,0.053029784957567855,4.931957721710205,-2.3076443672180176
1337,backbone_only,jpeg_q10,600,0.6979,0.349,0.136,0.248,0.32,0.13634692673881849,0.10797705153624215,4.931957721710205,-2.3076443672180176
1337,backbone_only,jpeg_q30,600,0.73512,0.33999999999999997,0.228,0.354,0.444,0.15827688346306482,0.14662539278467498,4.931957721710205,-2.3076443672180176
1337,backbone_only,jpeg_q50,600,0.75152,0.31899999999999995,0.252,0.414,0.48,0.12969154392679533,0.11806383614738783,4.931957721710205,-2.3076443672180176
1337,backbone_only,noise_s10,600,0.75622,0.32199999999999995,0.284,0.374,0.458,0.05983532115817071,0.057308280443151796,4.931957721710205,-2.3076443672180176
1337,backbone_only,noise_s20,600,0.7389,0.32099999999999995,0.208,0.32,0.436,0.06031330817068616,0.057773548811674125,4.931957721710205,-2.3076443672180176
1337,backbone_only,noise_s5,600,0.75646,0.31999999999999995,0.28,0.384,0.466,0.052178679294884206,0.04171970695257187,4.931957721710205,-2.3076443672180176
1337,backbone+rppg,blur_s1,600,0.75828,0.32799999999999996,0.278,0.398,0.44,0.046914002286891146,0.04167389047642549,5.068473815917969,-2.476337194442749
1337,backbone+rppg,blur_s2,600,0.7279,0.34199999999999997,0.174,0.312,0.374,0.07512222622831663,0.05311033417781194,5.068473815917969,-2.476337194442749
1337,backbone+rppg,blur_s3,600,0.70014,0.36,0.092,0.26,0.352,0.0944541740914186,0.06658178124576807,5.068473815917969,-2.476337194442749
1337,backbone+rppg,clean,600,0.7687,0.31999999999999995,0.3,0.422,0.476,0.04289023513595263,0.04376295020182927,5.068473815917969,-2.476337194442749
1337,backbone+rppg,downscale_2x,600,0.76056,0.31999999999999995,0.28,0.4,0.442,0.04606908270468314,0.04303808157642683,5.068473815917969,-2.476337194442749
1337,backbone+rppg,downscale_4x,600,0.72826,0.32999999999999996,0.222,0.312,0.416,0.06879317313432694,0.05108726357420285,5.068473815917969,-2.476337194442749
1337,backbone+rppg,jpeg_q10,600,0.70136,0.33999999999999997,0.144,0.254,0.308,0.10705258006850879,0.09664375533660251,5.068473815917969,-2.476337194442749
1337,backbone+rppg,jpeg_q30,600,0.73658,0.33999999999999997,0.224,0.356,0.452,0.13805348366498946,0.14008731737732885,5.068473815917969,-2.476337194442749
1337,backbone+rppg,jpeg_q50,600,0.7528,0.32199999999999995,0.238,0.422,0.482,0.11321682776014008,0.11153463726242381,5.068473815917969,-2.476337194442749
1337,backbone+rppg,noise_s10,600,0.75734,0.32199999999999995,0.272,0.368,0.478,0.050603443160653114,0.05811220208803813,5.068473815917969,-2.476337194442749
1337,backbone+rppg,noise_s20,600,0.73924,0.33199999999999996,0.222,0.346,0.452,0.055198368839919555,0.04285706371068955,5.068473815917969,-2.476337194442749
1337,backbone+rppg,noise_s5,600,0.7576,0.31999999999999995,0.298,0.392,0.47,0.05081932129959266,0.04473869793117047,5.068473815917969,-2.476337194442749
1337,backbone+blink,blur_s1,600,0.766,0.30200000000000005,0.272,0.39,0.472,0.045500150894125305,0.04574955155452093,4.788702487945557,-2.2056493759155273
1337,backbone+blink,blur_s2,600,0.73396,0.34099999999999997,0.166,0.298,0.402,0.07433954949180285,0.054466001490751904,4.788702487945557,-2.2056493759155273
1337,backbone+blink,blur_s3,600,0.70436,0.351,0.09,0.286,0.366,0.09591131406525771,0.0644915101180474,4.788702487945557,-2.2056493759155273
1337,backbone+blink,clean,600,0.77526,0.30200000000000005,0.294,0.422,0.492,0.05262704491615295,0.0383856737613678,4.788702487945557,-2.2056493759155273
1337,backbone+blink,downscale_2x,600,0.76772,0.30000000000000004,0.272,0.388,0.472,0.044097199017802874,0.04273350099722544,4.788702487945557,-2.2056493759155273
1337,backbone+blink,downscale_4x,600,0.7351,0.33199999999999996,0.202,0.36,0.418,0.07108652194341024,0.0475001976887385,4.788702487945557,-2.2056493759155273
1337,backbone+blink,jpeg_q10,600,0.70544,0.35,0.124,0.256,0.322,0.1526555432875951,0.125561253875494,4.788702487945557,-2.2056493759155273
1337,backbone+blink,jpeg_q30,600,0.74252,0.31999999999999995,0.216,0.372,0.458,0.17298928926388424,0.15744234999020892,4.788702487945557,-2.2056493759155273
1337,backbone+blink,jpeg_q50,600,0.75778,0.31000000000000005,0.244,0.388,0.49,0.1441214114427567,0.13095000132918358,4.788702487945557,-2.2056493759155273
