seed,variant,perturbation,n,auc,eer,tpr5
42,backbone+blink,blur_s1,600,0.76322,0.31000000000000005,0.396
42,backbone+blink,downscale_4x,600,0.73118,0.34099999999999997,0.284
42,backbone+blink,jpeg_q10,600,0.70214,0.349,0.244
42,backbone+blink,blur_s2,600,0.73068,0.348,0.31
42,backbone+blink,downscale_2x,600,0.7646,0.31000000000000005,0.396
42,backbone+blink,blur_s3,600,0.70288,0.36,0.272
42,backbone+blink,noise_s10,600,0.76108,0.30200000000000005,0.376
42,backbone+blink,jpeg_q30,600,0.74226,0.32099999999999995,0.342
42,backbone+blink,noise_s5,600,0.7615,0.31100000000000005,0.374
42,full_fusion,noise_s20,600,0.74522,0.32999999999999996,0.354
42,full_fusion,clean,600,0.77206,0.29100000000000004,0.446
42,full_fusion,jpeg_q50,600,0.75686,0.31999999999999995,0.364
42,full_fusion,blur_s1,600,0.7647,0.31000000000000005,0.392
42,full_fusion,downscale_4x,600,0.73328,0.348,0.284
42,full_fusion,jpeg_q10,600,0.70502,0.34199999999999997,0.24
42,full_fusion,blur_s2,600,0.73216,0.33999999999999997,0.3
42,full_fusion,downscale_2x,600,0.76606,0.31000000000000005,0.39
42,full_fusion,blur_s3,600,0.70448,0.36,0.27
42,full_fusion,noise_s10,600,0.7619,0.30000000000000004,0.366
42,full_fusion,jpeg_q30,600,0.74376,0.31999999999999995,0.358
42,full_fusion,noise_s5,600,0.76228,0.31799999999999995,0.384
1337,backbone_only,noise_s20,600,0.7389,0.32099999999999995,0.32
1337,backbone_only,clean,600,0.7679,0.31999999999999995,0.418
1337,backbone_only,jpeg_q50,600,0.75152,0.31899999999999995,0.414
1337,backbone_only,blur_s1,600,0.75922,0.31999999999999995,0.384
1337,backbone_only,downscale_4x,600,0.72748,0.33799999999999997,0.324
1337,backbone_only,jpeg_q10,600,0.6979,0.349,0.248
1337,backbone_only,blur_s2,600,0.72876,0.33899999999999997,0.326
1337,backbone_only,downscale_2x,600,0.75994,0.33099999999999996,0.39
1337,backbone_only,blur_s3,600,0.69862,0.37,0.274
1337,backbone_only,noise_s10,600,0.75622,0.32199999999999995,0.374
1337,backbone_only,jpeg_q30,600,0.73512,0.33999999999999997,0.354
1337,backbone_only,noise_s5,600,0.75646,0.31999999999999995,0.384
1337,backbone+rppg,noise_s20,600,0.73924,0.33199999999999996,0.346
1337,backbone+rppg,clean,600,0.7687,0.31999999999999995,0.422
1337,backbone+rppg,jpeg_q50,600,0.7528,0.32199999999999995,0.422
1337,backbone+rppg,blur_s1,600,0.75828,0.32799999999999996,0.398
1337,backbone+rppg,downscale_4x,600,0.72826,0.32999999999999996,0.312
1337,backbone+rppg,jpeg_q10,600,0.70136,0.33999999999999997,0.254
1337,backbone+rppg,blur_s2,600,0.7279,0.34199999999999997,0.312
1337,backbone+rppg,downscale_2x,600,0.76056,0.31999999999999995,0.4
1337,backbone+rppg,blur_s3,600,0.70014,0.36,0.26
1337,backbone+rppg,noise_s10,600,0.75734,0.32199999999999995,0.368
1337,backbone+rppg,jpeg_q30,600,0.73658,0.33999999999999997,0.356
1337,backbone+rppg,noise_s5,600,0.7576,0.31999999999999995,0.392
1337,backbone+blink,noise_s20,600,0.74506,0.32999999999999996,0.34
1337,backbone+blink,clean,600,0.77526,0.30200000000000005,0.422
1337,backbone+blink,jpeg_q50,600,0.75778,0.31000000000000005,0.388
1337,backbone+blink,blur_s1,600,0.766,0.30200000000000005,0.39
1337,backbone+blink,downscale_4x,600,0.7351,0.33199999999999996,0.36
1337,backbone+blink,jpeg_q10,600,0.70544,0.35,0.256
1337,backbone+blink,blur_s2,600,0.73396,0.34099999999999997,0.298
1337,backbone+blink,downscale_2x,600,0.76772,0.30000000000000004,0.388
1337,backbone+blink,blur_s3,600,0.70436,0.351,0.286
1337,backbone+blink,noise_s10,600,0.76364,0.31000000000000005,0.388
1337,backbone+blink,jpeg_q30,600,0.74252,0.31999999999999995,0.372
1337,backbone+blink,noise_s5,600,0.76324,0.31199999999999994,0.406
1337,full_fusion,noise_s20,600,0.74406,0.32999999999999996,0.342
1337,full_fusion,clean,600,0.7726,0.30000000000000004,0.412
1337,full_fusion,jpeg_q50,600,0.75402,0.31999999999999995,0.396
