config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_dfdc,ff+celebdf,dfdc,1337,backbone+blink,11929,77,0.5743801652892562,0.7724702602637181,0.4136363636363637,0.12727272727272726,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,full_fusion,11929,77,0.5603305785123966,0.7642960278708002,0.4136363636363637,0.12727272727272726,0.12727272727272726,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,2024,backbone_only,11929,77,0.5619834710743802,0.8028121401405783,0.5045454545454545,0.21818181818181817,0.21818181818181817,0.2909090909090909
test_dfdc,ff+celebdf,dfdc,2024,backbone+rppg,11929,77,0.5892561983471074,0.8182531026031014,0.4545454545454546,0.2727272727272727,0.2909090909090909,0.3090909090909091
test_dfdc,ff+celebdf,dfdc,2024,backbone+blink,11929,77,0.5727272727272728,0.8074320831126011,0.5363636363636364,0.18181818181818182,0.2545454545454545,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,2024,full_fusion,11929,77,0.6033057851239669,0.8249950952896934,0.4636363636363636,0.2545454545454545,0.3090909090909091,0.3090909090909091
test_ff,celebdf+dfdc,ff,0,backbone_only,6910,600,0.51076,0.8381110199465664,0.489,0.022,0.06,0.104
test_ff,celebdf+dfdc,ff,0,backbone+rppg,6910,600,0.50954,0.8360208818345075,0.48,0.026,0.064,0.092
test_ff,celebdf+dfdc,ff,0,backbone+blink,6910,600,0.51172,0.8374578477804778,0.48,0.03,0.056,0.104
test_ff,celebdf+dfdc,ff,0,full_fusion,6910,600,0.5086,0.8368330156363089,0.48,0.028,0.064,0.096
test_ff,celebdf+dfdc,ff,1,backbone_only,6910,600,0.51092,0.8390064427441342,0.49,0.02,0.058,0.104
test_ff,celebdf+dfdc,ff,1,backbone+rppg,6910,600,0.51396,0.842524583445719,0.489,0.038,0.054,0.102
test_ff,celebdf+dfdc,ff,1,backbone+blink,6910,600,0.51218,0.8397787336144727,0.482,0.016,0.068,0.104
test_ff,celebdf+dfdc,ff,1,full_fusion,6910,600,0.51316,0.8416300505923442,0.489,0.022,0.052,0.104
test_ff,celebdf+dfdc,ff,42,backbone_only,6910,600,0.51272,0.8427790353147212,0.49,0.014,0.072,0.126
test_ff,celebdf+dfdc,ff,42,backbone+rppg,6910,600,0.51722,0.8453717250769233,0.492,0.008,0.08,0.154
test_ff,celebdf+dfdc,ff,42,backbone+blink,6910,600,0.51222,0.8431342854413707,0.492,0.016,0.082,0.128
test_ff,celebdf+dfdc,ff,42,full_fusion,6910,600,0.51356,0.843491708133853,0.491,0.012,0.094,0.162
test_ff,celebdf+dfdc,ff,1337,backbone_only,6910,600,0.50774,0.8337122858300573,0.49,0.016,0.064,0.094
test_ff,celebdf+dfdc,ff,1337,backbone+rppg,6910,600,0.50666,0.8342665516514826,0.498,0.008,0.06,0.1
test_ff,celebdf+dfdc,ff,1337,backbone+blink,6910,600,0.50628,0.8333374686310029,0.49,0.016,0.058,0.092
test_ff,celebdf+dfdc,ff,1337,full_fusion,6910,600,0.50436,0.8336978250035383,0.5,0.006,0.054,0.102
test_ff,celebdf+dfdc,ff,2024,backbone_only,6910,600,0.52238,0.8395268165534524,0.49,0.014,0.058,0.11
